Prey,Bait,Score
NDH01G21210.1,NDH19G37400.1,1
NDH16G14050.3,NDH06G01000.3,1
NDH01G23670.1,NDH05G26720.1,1
NDH11G28210.1,NDH15G35080.1,1
NDH20G27700.1,NDH06G01000.4,1
NDH02G08230.1,NDH16G13990.1,1
NDH13G03460.1,NDH13G50970.1,1
NDH09G30660.1,NDH09G11910.1,1
NDH09G26200.1,NDH18G33730.1,1
NDH05G39540.1,NDH07G26600.3,1
NDH09G36330.1,NDH04G04290.2,1
NDH16G21130.1,NDH06G01530.1,1
NDH18G18690.2,NDH02G11311.1,1
NDH01G20990.1,NDH14G00490.1,1
NDH15G02060.3,NDH03G47250.1,1
NDH18G04180.1,NDH20G31490.2,1
Contig1G01880.1,NDH20G06940.1,1
NDH07G19430.1,NDH06G17600.1,1
NDH07G05100.1,NDH15G36630.1,1
NDH06G18000.1,NDH01G20990.1,1
NDH12G35010.1,NDH13G13950.1,1
NDH13G08300.1,NDH13G23620.1,1
NDH18G10860.1,NDH12G07750.1,1
NDH13G53800.2,NDH16G13210.7,1
NDH20G06940.1,NDH04G06230.1,1
NDH15G38670.2,NDH07G27560.1,1
NDH20G03480.1,NDH06G01000.3,1
NDH15G10100.1,NDH07G22150.1,1
NDH02G29240.1,NDH15G12830.1,1
NDH10G30530.1,NDH06G29980.1,1
NDH15G04800.1,NDH10G28610.3,1
NDH01G22990.1,NDH15G00990.2,1
NDH09G36370.1,NDH16G13830.1,1
NDH20G03830.1,NDH14G34740.3,1
NDH15G34840.1,NDH18G00010.1,1
NDH05G03540.1,NDH06G01000.4,1
NDH07G04971.1,NDH16G14470.1,1
NDH17G36830.1,NDH11G36860.1,1
NDH20G06560.1,NDH18G00510.1,1
NDH09G36480.1,NDH04G26601.1,1
NDH03G47250.1,NDH19G19080.1,1
NDH15G28630.1,NDH02G24630.1,1
NDH06G09160.5,NDH16G06631.1,1
NDH02G11311.1,NDH14G38660.1,1
NDH13G00170.1,NDH12G28400.1,1
NDH12G35580.1,NDH09G02320.1,1
NDH15G26260.3,NDH06G01000.3,1
NDH17G25660.3,NDH06G01000.4,1
NDH10G19530.1,NDH14G25370.1,1
NDH07G13960.1,NDH20G34360.1,1
NDH20G06560.1,NDH07G22150.1,1
NDH11G08220.1,NDH19G42640.1,1
NDH08G09200.1,NDH02G11311.1,1
NDH15G26260.4,NDH06G01000.3,1
NDH11G31370.1,NDH07G10790.1,1
NDH19G16790.1,NDH12G27890.1,1
NDH10G03010.1,NDH03G47220.1,1
NDH03G25720.1,NDH18G07200.1,1
NDH14G36891.1,NDH20G09830.1,1
NDH09G34430.1,NDH13G07960.2,1
NDH08G26270.1,NDH02G06920.1,1
NDH17G27570.1,NDH14G13270.1,1
NDH16G08970.1,NDH10G09890.1,1
NDH10G32110.2,NDH13G12320.1,1
NDH13G34710.1,NDH18G10920.1,1
NDH15G00090.1,NDH13G00420.1,1
NDH19G00780.1,NDH13G24320.5,1
NDH16G06140.1,NDH15G07710.1,1
NDH19G35081.1,NDH20G40570.1,1
NDH10G30320.1,NDH20G09830.1,1
NDH07G08340.2,NDH19G35440.1,1
Contig1G01280.1,NDH07G06010.1,1
NDH13G45090.2,NDH05G00110.1,1
NDH19G43710.1,NDH13G03550.1,1
NDH16G16440.2,NDH09G34430.1,1
NDH19G34080.1,NDH07G27760.1,1
NDH04G09260.1,NDH14G29810.1,1
NDH13G04530.1,NDH18G10880.1,1
NDH14G24480.1,NDH18G23560.1,1
Contig1G02030.1,NDH19G38160.1,1
NDH08G11700.1,NDH07G23590.1,1
NDH13G05760.1,NDH07G15900.1,1
NDH03G26670.4,NDH01G12970.1,1
NDH03G46690.1,NDH09G05790.6,1
NDH06G21290.1,NDH06G01000.4,1
NDH18G10930.2,NDH14G06170.2,1
NDH15G38670.2,NDH04G19380.1,1
NDH11G28210.1,NDH04G04650.1,1
NDH06G36990.1,NDH19G14620.1,1
NDH09G02480.1,NDH19G35440.2,1
NDH12G29510.2,NDH18G06810.1,1
NDH03G16110.1,NDH14G05610.1,1
NDH17G35350.1,NDH11G09490.1,1
Contig11G00070.1,NDH02G11311.1,1
NDH20G30980.1,NDH13G02850.1,1
NDH19G43460.1,NDH05G09350.2,1
Contig1G00520.1,NDH16G38640.1,1
NDH13G48590.1,NDH03G31500.3,1
NDH15G05190.1,NDH13G02850.1,1
NDH03G46700.1,NDH16G06030.2,1
NDH13G03460.1,NDH13G28970.1,1
NDH20G38120.1,NDH17G19560.2,1
NDH14G04410.1,NDH16G14050.3,1
NDH02G24430.1,NDH16G14050.3,1
NDH11G14390.1,NDH06G21290.1,1
NDH06G21290.1,NDH09G23960.1,1
NDH05G04550.1,NDH13G41210.2,1
NDH15G38670.1,NDH09G02230.1,1
NDH08G05980.1,NDH13G24230.1,1
NDH11G19570.3,NDH06G01000.4,1
NDH20G33440.3,NDH06G01000.3,1
NDH05G38890.1,NDH15G31130.1,1
NDH18G10860.1,NDH13G41210.1,1
NDH12G30920.2,NDH13G04000.3,1
NDH19G42290.1,NDH13G04980.1,1
NDH09G36500.1,NDH06G01000.4,1
NDH03G46690.1,NDH02G13560.1,1
NDH18G37220.1,NDH06G01000.4,1
NDH18G10880.1,NDH18G37050.1,1
NDH05G00860.2,NDH05G28950.2,1
NDH05G39060.1,NDH05G16960.1,1
NDH09G23440.1,NDH16G13210.7,1
NDH02G26340.1,NDH20G37110.5,1
NDH10G31460.1,NDH12G27890.1,1
NDH09G34430.1,NDH02G00170.1,1
NDH15G10040.1,NDH10G33430.1,1
NDH03G22600.1,NDH17G01300.1,1
NDH11G09751.1,NDH13G00110.1,1
NDH06G21290.1,NDH11G02220.1,1
NDH19G00260.1,NDH16G13210.7,1
NDH16G29160.1,NDH04G02920.2,1
NDH01G29290.3,NDH09G28670.1,1
NDH19G17620.2,NDH14G33370.1,1
NDH09G36020.1,NDH07G27210.1,1
NDH07G05100.1,NDH04G02920.2,1
NDH17G15720.4,NDH14G21720.1,1
NDH14G39530.1,NDH03G41190.1,1
NDH04G33250.1,NDH18G34180.1,1
NDH06G18000.1,NDH06G23020.1,1
NDH09G28150.1,NDH06G26320.1,1
NDH13G42740.1,NDH19G37400.1,1
NDH13G36680.1,NDH17G25370.1,1
NDH18G10880.1,NDH18G10880.1,1
NDH20G38110.1,NDH01G03040.1,1
NDH01G26400.1,NDH14G21830.1,1
NDH11G15560.1,NDH20G08330.1,1
NDH20G25780.1,NDH06G01000.4,1
NDH07G08340.2,NDH03G07150.1,1
NDH08G20160.1,NDH07G08340.1,1
NDH05G02550.1,NDH04G03930.1,1
NDH09G23440.1,NDH20G10570.11,1
NDH08G20140.1,NDH11G02220.1,1
NDH14G05360.1,NDH19G36430.1,1
NDH06G28840.1,NDH06G01020.1,1
NDH04G25440.1,NDH16G13210.7,1
NDH03G00430.1,NDH10G10970.1,1
NDH20G07610.1,NDH15G36700.3,1
NDH08G20140.1,NDH06G23240.1,1
NDH03G05440.1,NDH16G04640.2,1
NDH12G36380.1,NDH16G28140.1,1
NDH19G00780.1,NDH03G07130.1,1
NDH11G04580.1,NDH06G01000.3,1
NDH18G10860.1,NDH20G10520.1,1
NDH05G00860.2,NDH14G10340.1,1
NDH19G17470.1,NDH01G21800.1,1
NDH01G07230.1,NDH01G30090.3,1
NDH10G30320.1,NDH13G05410.1,1
NDH06G21920.1,NDH04G06230.1,1
NDH03G46690.1,NDH13G34710.1,1
NDH07G26970.1,NDH06G01000.4,1
NDH03G00780.1,NDH07G09420.1,1
NDH16G32860.1,NDH14G33370.1,1
NDH14G31720.1,NDH14G40050.1,1
NDH06G06460.1,NDH04G04590.2,1
NDH05G14340.1,NDH06G01000.4,1
NDH19G35080.1,NDH05G26260.1,1
NDH13G49070.1,NDH17G27570.1,1
NDH12G35010.1,NDH07G01770.1,1
NDH10G07180.1,NDH19G35080.1,1
NDH11G34800.1,NDH13G17040.1,1
NDH05G01540.2,NDH15G23230.1,1
NDH20G42940.1,NDH15G26260.3,1
NDH01G15550.1,NDH19G22020.1,1
NDH20G10650.1,NDH16G00130.1,1
NDH02G14130.1,NDH14G04910.4,1
NDH16G16490.1,NDH19G01590.1,1
NDH06G19290.1,NDH12G19910.1,1
NDH03G39640.1,NDH01G13010.1,1
NDH14G40140.1,NDH12G27890.1,1
NDH18G08130.1,NDH14G10430.1,1
NDH15G27910.1,NDH10G29460.1,1
NDH07G08340.2,NDH10G05290.1,1
NDH09G36020.1,NDH03G16030.1,1
NDH16G36420.1,NDH16G14050.3,1
NDH09G08500.5,NDH15G38690.1,1
NDH09G36370.1,NDH20G16530.1,1
NDH05G39540.1,NDH09G23960.1,1
NDH13G53920.1,NDH04G25340.3,1
NDH08G02410.1,NDH20G31600.3,1
